data_extracao,codigo,nome,telefone,logradouro,numero,latitude,longitude
10/03/2020 01:58,120,SEBASTIÃO LEÃO EM FRENTE AO HOSPITAL PORTO ALEGRE,3221-5595,R DR SEBASTIAO LEAO,99,"-30,045","-51,2172"
10/03/2020 01:58,149,DIOMARIO MOOJEN X CAMPOS VELHO,,R DIOMARIO MOOJEN,30,"-30,0928","-51,2369"
10/03/2020 01:58,83,KASTELÃO TERESÓPOLIS,3336-2635,AV TERESOPOLIS,2888,"-30,079","-51,2088"
10/03/2020 01:58,291,TEATRO DA OSPA,,R GEN JOAO TELLES,10,"-30,0296","-51,2119"
10/03/2020 01:58,353,ITABORAI X BARÃO DO AMAZONAS,,R ITABORAI,677,"-30,0515","-51,187"
10/03/2020 01:58,396,SERGIO JUNGBLUT DIETRICH X SERTÓRIO,,R SERGIO JUNGBLUT DIETERICH,10,"-29,9975","-51,1427"
10/03/2020 01:58,478,Jerônimo Zelmanovitz x Assis Brasil,,R JERONYMO ZELMANOVITZ,60,"-30,0283","-51,2285"
10/03/2020 01:58,145,BOURBON COUNTRY,3328-0403,AV TULIO DE ROSE,80,"-30,0228","-51,1622"
10/03/2020 01:58,351,IRMÃO JOSÉ OTÃO X THOMAS FLORES,,R IRMAO JOSE OTAO,190,"-30,0306","-51,2165"
10/03/2020 01:58,45,SARMENTO LEITE X LIMA E SILVA,3221-8393,R SARMENTO LEITE,880,"-30,0367","-51,2233"
10/03/2020 01:58,59,PUC UNIVERSIDADE,3339-1133,AV IPIRANGA,6681,"-30,0581","-51,1764"
10/03/2020 01:58,280,TANAUI DA S BOEIRA X JOÃO DE O REMIÃO,33193030,R TANAUI DA SILVA BOEIRA,10,"-30,1242","-51,1045"
10/03/2020 01:58,434,VEADOR PORTO X IPIRANGA,,R VEADOR PORTO,795,"-30,049","-51,1974"
10/03/2020 01:58,305,ASSIS BRASIL X ITARARÉ,,AV ASSIS BRASIL,2201,"-30,0116","-51,1654"
10/03/2020 01:58,412,VOLUNTARIOS DA PATRIA X POLONIA,,R VOLUNTARIOS DA PATRIA,3223,"-30,0062","-51,2085"
10/03/2020 01:58,48,SANTA CECÍLIA X IPIRANGA (ZAFFARI),3331-0649,R SANTA CECILIA,1143,"-30,0456","-51,1991"
10/03/2020 01:58,380,OSCAR PEREIRA X PRAÇA DA SAUDADE,,AV PROF OSCAR PEREIRA,400,"-30,0548","-51,211"
10/03/2020 01:58,400,TEIXEIRA MENDES X NILO PEÇANHA,,AV TEIXEIRA MENDES,1309,"-30,0287","-51,1658"
10/03/2020 01:58,420,INDEPENDÊNCIA,,AV INDEPENDENCIA,813,"-30,0295","-51,213"
10/03/2020 01:58,80,CAERGS,3288-1200,AV BORGES DE MEDEIROS,1501,"-30,0404","-51,2286"
10/03/2020 01:58,101,ANITA GARIBALDI X FABIO N BARROS,3328-1891,R ANITA GARIBALDI,1985,"-30,0231","-51,176"
10/03/2020 01:58,123,ZAFFARI LIMA E SILVA,4141-4158,R LUIZ AFONSO,143,"-30,0386","-51,2205"
10/03/2020 01:58,358,JOÃO ZANENGA X ASSIS BRASIL,,R JOAO ZANENGA,11,"-30,0102","-51,1555"
10/03/2020 01:58,55,HOSPITAL NOSSA SENHORA DA CONCEIÇÃO,3341-5688,AV FRANCISCO TREIN,557,"-30,0163","-51,1593"
10/03/2020 01:58,161,PRAÇA ALBERTO PASQUALINI,,AV ALBERTO PASQUALINI,240,"-30,03","-51,1452"
10/03/2020 01:58,436,BIG SHOPPING EDUARDO PRADO,3250-6064,"AV, EDUARDO PRADO 330",1194,"-30,1292","-51,2187"
10/03/2020 01:58,30,TERMINAL ANTÔNIO DE CARVALHO,3336-5841,AV ANTONIO CARVALHO,44,"-30,0651","-51,1511"
10/03/2020 01:58,132,FELIZARDO X FELIZARDO FURTADO,3330-1192,R FELIZARDO FURTADO,649,"-30,0492","-51,1837"
10/03/2020 01:58,135,POSTO GLÓRIA,3339-0456,AV PROF OSCAR PEREIRA,2728,"-30,0743","-51,2024"
10/03/2020 01:58,223,JOAO PESSOA X AVAI,,AV JOÃO PESSOA,85,"-30,0332","-51,2227"
10/03/2020 01:58,417,DEMETRIO RIBEIRO X GEN BENTO MARTINS,,R DEMETRIO RIBEIRO,551,"-30,0358","-51,2338"
10/03/2020 01:58,485,Polônia x Rio Grande,,AV POLONIA,255,"-30,0075","-51,2068"
10/03/2020 01:58,31,"ASSIS BRASIL, 6464",3364-1234,AV ASSIS BRASIL,6476,"-29,9943","-51,1296"
10/03/2020 01:58,237,BORGES DE MEDEIROS X PRAÇA MONTEVIDEO,,AV BORGES DE MEDEIROS,262,"-30,0286","-51,228"
10/03/2020 01:58,249,SR DOS PASSOS X VOLUNTARIOS DA PATRIA,,R SENHOR DOS PASSOS,30,"-30,0273","-51,224"
10/03/2020 01:58,86,BOTAFOGO X AZENHA,3223-3555,R BOTAFOGO,1455,"-30,0552","-51,2151"
10/03/2020 01:58,310,AZENHA X IPIRANGA,,AV DA AZENHA,366,"-30,047","-51,2137"
10/03/2020 01:58,256,SENHOR DOS PASSOS X ANDRADAS,,R SENHOR DOS PASSOS,259,"-30,0294","-51,2234"
10/03/2020 01:58,292,ANNES DIAS X PRAÇA DOM FELICIANO,,R PROF ANNES DIAS,155,"-30,0308","-51,2234"
10/03/2020 01:58,369,MARCILIO DIAS X AZENHA,,R MARCILIO DIAS,1565,"-30,0505","-51,2133"
10/03/2020 01:58,70,AUXILIADORA X 24 DE OUTUBRO,(51) 3337-2121,R AUXILIADORA,268,"-30,0217","-51,1909"
10/03/2020 01:58,355,JOÃO INACIO X CEARA,,R DR JOAO INACIO,1366,"-30,0031","-51,1924"
10/03/2020 01:58,466,FRANCISCO RODOLFO SIMCH X JOAO LUDERIZT,,AV ENG FRANCISCO RODOLFO SIMCH,117,"-30,0067","-51,1349"
10/03/2020 01:58,262,NOVOTEL,3331-1600,AV SOLEDADE,555,"-30,0328","-51,1791"
10/03/2020 01:58,366,LUCAS DE OLIVEIRA X PEDRO IVO,,AV CEL LUCAS DE OLIVEIRA,845,"-30,0297","-51,1946"
10/03/2020 01:58,433,SETE DE SETEMBRO X TRAV ARAÚJO RIBEIRO,,R SETE DE SETEMBRO,601,"-30,0307","-51,2344"
10/03/2020 01:58,213,BORGES DE MEDEIROS X DEMETRIO RIBEIRO,,AV BORGES DE MEDEIROS,1057,"-30,036","-51,2281"
10/03/2020 01:58,222,LUIZ AFONSO X JOSE DO PATROCINIO,,R LUIZ AFONSO,395,"-30,0401","-51,2229"
10/03/2020 01:58,258,HOTEL PLAZA SÃO RAFAEL,3227-8014,AV ALBERTO BINS,514,"-30,028","-51,2214"
10/03/2020 01:58,283,AUGUSTO SEVERO,3362-1213,R AUGUSTO SEVERO,15,"-30,0072","-51,1889"
10/03/2020 01:58,27,ERNESTO DA FONTOURA X BENJAMIN CONSTANT,3342-9714,R ERNESTO FONTOURA,1510,"-30,0105","-51,1931"
10/03/2020 01:58,69,TRT PRAIA DE BELAS,3231-5195,R MARCILIO DIAS,200,"-30,049","-51,2278"
10/03/2020 01:58,177,ERECHIM X NONOAI,,R ERECHIM,782,"-30,0889","-51,2173"
