codigo,nome,telefone,logradouro,numero,latitude,longitude
1,RODOVIÁRIA,3221-9371,LG VESPASIANO JULIO VEPPO,0,-30,02399616,-51,2194512698
458,AV. DAS INDÚSTRIAS X AV. SEVERO DULLIUS,S/ TELEFONE,AV. DAS INDÚSTRIAS,1344,-29,9872776651,-51,1698367788
327,DOM PEDRO II X CORCOVADO,S/ TELEFONE,R DOM PEDRO II,1511,-30,0206083042,-51,1862840548
